NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
Evan Hull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.2,0.3,0.3,1.1,NO
Hassan Haskins,0.0,0.0,0.0,0.0,2.5,3.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.3,LAC
Hunter Luepke,0.0,0.0,0.0,0.6,2.0,8.7,1.3,0.2,0.0,0.0,7.1,1.7,0.0,0.0,5.0,2.4,5.4,2.6,DAL
Jack Westover,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,NE
Jacory Croskey-Merritt,14.2,1.7,10.1,7.7,27.0,5.8,4.2,2.5,5.1,3.0,4.3,0.0,2.0,3.2,15.6,8.5,22.5,2.9,WAS
Jahmyr Gibbs,15.0,19.4,26.9,17.7,16.7,7.5,36.8,0.0,5.8,38.2,19.6,55.4,11.6,37.0,9.8,22.8,6.4,20.3,DET
Jaleel McLaughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,4.0,4.1,0.4,3.7,4.0,6.8,DEN
James Cook III,21.2,26.5,20.8,22.5,4.9,8.7,0.0,33.6,13.5,10.7,20.4,21.9,18.7,11.1,31.1,26.4,8.7,1.5,BUF
Jaret Patterson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.4,0.1,0.0,0.0,11.4,0.0,0.0,0.0,0.1,6.7,LAC
Jawhar Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,12.0,3.6,0.3,HOU
Jaydon Blue,0.0,0.0,0.0,0.0,0.7,0.0,4.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,DAL
Jaylen Warren,13.9,17.4,13.1,0.0,0.0,8.3,19.8,9.3,16.9,11.1,8.7,12.8,12.4,15.2,7.8,29.1,6.4,14.9,PIT
Jaylen Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,1.7,0.4,0.0,1.6,16.7,2.1,12.3,5.6,4.0,MIA
Jeff Wilson Jr.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA
Jeremy McNichols,2.5,0.0,13.8,1.3,2.8,6.5,6.5,11.8,0.0,3.9,4.9,0.0,5.0,1.2,1.2,5.2,4.0,2.1,WAS
Jonathan Taylor,12.8,29.5,32.8,14.6,31.6,23.7,34.2,37.4,7.7,49.6,0.0,8.6,15.1,11.4,13.1,16.9,17.4,5.9,IND
Jordan James,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF
Jordan Mason,8.5,5.8,23.6,10.2,12.6,0.0,11.7,1.6,4.7,4.1,10.5,4.2,5.8,11.2,2.9,2.1,0.0,9.4,MIN
Julius Chestnut,0.2,0.0,2.6,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,TEN
Kalel Mullings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,TEN
Kareem Hunt,4.6,4.4,11.4,5.7,18.7,4.4,1.8,17.2,12.5,0.0,13.2,20.0,9.0,9.0,3.0,0.2,3.8,6.5,KC
Keaton Mitchell,0.0,0.0,0.0,0.0,2.3,0.0,0.0,4.3,2.8,3.1,7.4,2.9,11.1,7.6,6.6,1.3,5.8,0.2,BAL
Kene Nwangwu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.8,NYJ
Kenneth Walker,5.4,18.8,18.0,12.0,9.6,4.7,6.6,0.0,8.1,8.0,20.1,13.1,10.4,3.8,2.9,25.4,7.7,17.3,SEA
Kenny Gainwell,5.3,6.6,9.6,31.4,0.0,9.6,3.5,3.5,7.4,2.4,29.5,18.2,6.5,16.2,19.6,23.8,6.8,21.4,PIT
Khalil Herbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,5.6,NYJ
Kimani Vidal,0.0,0.0,0.0,0.0,2.9,22.8,7.5,19.7,3.0,17.8,3.2,0.0,20.7,11.4,5.8,1.1,0.0,2.0,LAC
Kyle Juszczyk,5.2,1.5,7.1,6.2,5.0,1.9,1.8,1.4,2.2,2.8,4.6,0.0,4.7,0.0,1.7,0.0,9.4,1.5,SF
Kyle Monangai,2.1,4.6,3.0,1.8,0.0,5.4,17.4,2.4,22.8,8.8,10.7,10.8,19.0,8.7,3.3,12.3,7.7,5.9,CHI
Kyren Williams,13.9,10.0,19.2,10.4,31.1,16.7,8.5,0.0,17.4,22.4,16.6,5.8,13.2,17.7,21.8,11.5,16.0,11.1,LAR
