NAME,FPTS_WK1,FPTS_WK2,FPTS_WK3,FPTS_WK4,FPTS_WK5,FPTS_WK6,FPTS_WK7,FPTS_WK8,FPTS_WK9,FPTS_WK10,FPTS_WK11,FPTS_WK12,FPTS_WK13,FPTS_WK14,FPTS_WK15,FPTS_WK16,FPTS_WK17,FPTS_WK18,TEAM
Shane Zylstra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,DET
Stone Smartt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,3.8,0.0,NYJ
Tanner Hudson,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.9,6.2,0.0,5.2,1.9,8.4,2.1,4.6,1.4,5.1,0.0,CIN
Teagan Quitoriano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL
Tommy Tremble,1.2,5.0,3.6,15.2,1.7,7.9,1.0,1.4,0.0,0.0,6.4,0.0,1.2,0.0,3.3,1.6,1.6,12.8,CAR
Travis Kelce,12.7,10.1,6.6,9.8,19.1,13.8,8.4,21.9,12.6,0.0,24.1,8.4,15.5,1.8,14.0,1.6,8.6,4.2,KC
Trey McBride,12.1,13.8,15.3,12.2,9.1,21.2,29.4,0.0,16.5,27.7,27.5,16.9,22.2,10.8,37.4,6.7,23.6,13.5,ARI
Treyton Welch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO
Tyler Conklin,7.2,0.0,0.0,1.3,5.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,LAC
Tyler Higbee,0.0,7.7,0.0,4.5,0.0,14.0,4.9,0.0,10.3,6.3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,20.1,LAR
Tyler Warren,14.9,11.9,6.8,18.3,14.4,18.3,16.9,9.3,7.6,17.9,0.0,9.5,11.2,3.7,4.9,6.0,9.3,7.6,IND
Will Dissly,2.8,1.7,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,5.8,3.9,1.6,LAC
Zach Horton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET
